client,age,education,emploi,categorie,adresse,revenus,debcred,debcarte,autres,defaut
1297,33,Niveau bac,3,12,6,51.6,14.4,1.188864,6.241536,Oui
1298,28,Niveau bac,0,12,7,19.7,3.47,0.1435539,0.5400361,Non
1299,73,Bac+2,2,12,999,39.0,19.4,2.11848,5.44752,Oui
1300,48,Bac+3,0,12,27,27.6,10.83,1.23747912,1.75160088,Non
1301,30,Bac+2,6,12,5,32.0,1.5,0.19296,0.28704,Non
1302,21,Niveau bac,0,12,0,17.5,4.89,0.23875425,0.61699575,Oui
1303,44,Niveau bac,6,12,5,38.7,4.93,0.49033287,1.41757713,Non
1304,999,Niveau bac,27,12,24,176.3,4.55,1.70861145,6.31303855,Non
1305,34,Niveau bac,3,12,11,18.9,8.61,0.68183451,0.94545549,Non
1306,39,Niveau bac,16,12,4,31.4,6.23,1.03288416,0.92333584,Non
1307,52,Bac+2,18,12,21,35.0,2.2,0.19712,0.57288,Non
1308,39,Niveau bac,23,12,13,81.2,10.77,2.08136712,6.66387288,Non
1309,999,Bac+2,2,12,2,44.9,4.98,0.7490667,1.4869533,Non
1310,20,Niveau bac,0,12,0,15.2,11.34,0.34990704,1.37377296,Oui
1311,24,Niveau bac,6,12,2,30.7,15.42,1.89830994,2.83563006,Non
1312,29,Bac+2,9,12,5,34.8,9.54,0.68390352,2.63601648,Oui
1313,24,Bac+2,1,12,2,19.0,16.3,0.188917,2.908083,Oui
1314,46,Bac+2,21,12,25,85.5,9.52,2.0511792,6.0884208,Non
1315,41,Niveau bac,11,12,5,36.0,10.2,1.365984,2.306016,Oui
1316,46,Bac+3,9,12,19,117.1,9.61,1.24911741,10.00419259,Non
1317,29,Niveau bac,2,12,3,32.5,8.81,1.3571805,1.5060695,Oui
1318,33,Bac+4,7,12,6,63.0,16.7,2.809107,7.711893,Non
1319,999,Niveau bac,16,12,6,93.0,4.7,2.863005,1.507995,Non
1320,33,Niveau bac,9,12,1,84.4,10.9,2.5850876,6.6145124,Non
1321,32,Bac+4,2,12,2,26.6,9.34,0.8322874,1.6521526,Oui
1322,999,Bac+2,0,12,7,18.0,7.21,0.2102436,1.0875564,Oui
1323,28,Niveau bac,10,12,999,20.8,27.85,0.7994064,4.9933936,Non
1324,32,Niveau bac,11,12,5,32.8,12.08,1.80678144,2.15545856,Non
1325,23,Bac+4,0,12,999,30.0,12.8,2.29632,1.54368,Oui
1326,49,Niveau bac,14,12,14,55.7,5.73,1.82560092,1.36600908,Non
1327,37,Niveau bac,7,12,3,41.3,8.48,0.71095472,2.79128528,Non
1328,28,Niveau bac,2,12,2,22.5,2.55,0.26908875,0.30466125,Oui
1329,26,Niveau bac,8,12,0,26.0,6.17,0.1379612,1.4662388,Non
1330,34,Niveau bac,16,12,6,82.9,1.95,0.56094285,1.05560715,Non
1331,34,Niveau bac,18,12,12,35.9,18.85,4.20240015,2.56474985,Non
1332,20,Bac+3,0,12,0,20.0,13.5,0.5913,2.1087,Non
1333,36,Bac+2,4,12,17,42.2,7.65,0.9200655,2.3082345,Non
1334,45,Bac+3,22,12,6,116.5,4.67,1.03914505,4.40140495,Non
1335,47,Niveau bac,3,12,999,20.0,4.97,0.179914,0.814086,Non
1336,62,Bac+4,26,12,12,87.0,16.2,4.820148,9.273852,Non
1337,30,Bac+4,4,12,6,46.0,3.9,1.2558,0.5382,Non
1338,50,Niveau bac,24,12,23,71.0,4.56,0.9518544,2.2857456,Non
1339,40,Bac+2,18,12,1,48.5,6.29,0.78401705,2.26663295,Non
1340,40,Bac+4,10,12,999,53.2,15.13,0.15293404,7.89622596,Non
1341,62,Bac+3,12,12,10,108.0,7.3,1.3797,6.5043,Non
1342,34,Niveau bac,12,12,6,59.0,9.2,2.002932,3.425068,Non
1343,23,Bac+3,1,12,2,28.0,0.6,0.058632,0.109368,Non
1344,35,Niveau bac,0,12,10,37.1,1.29,0.1818642,0.2967258,Non
1345,26,Bac+2,8,12,3,45.5,14.3,1.7112095,4.7952905,Non
1346,51,Bac+4,22,12,10,76.5,20.38,2.8842795,12.7064205,Non
1347,40,Bac+2,3,12,9,32.4,5.65,1.0672398,0.7633602,Non
1348,999,Niveau bac,12,12,999,28.8,7.28,0.59125248,1.50538752,Non
1349,32,Bac+4,7,12,0,42.5,1.67,0.167501,0.542249,Non
1350,40,Niveau bac,10,12,999,40.8,17.92,3.04152576,4.26983424,Non
1351,18,Bac+2,0,12,0,44.0,9.2,1.250832,2.797168,Non
1352,32,Bac+3,5,12,11,67.5,5.85,2.07309375,1.87565625,Non
1353,43,Bac+2,23,12,2,90.5,5.97,4.08995745,1.31289255,Non
1354,29,Bac+2,2,12,8,26.8,9.77,1.72026252,0.89809748,Non
1355,40,Niveau bac,17,12,4,42.1,21.21,1.02688215,7.90252785,Oui
1356,30,Bac+2,1,12,4,22.6,4.76,0.26894,0.80682,Non
1357,43,Bac+3,5,12,11,27.0,21.2,2.827656,2.896344,Oui
1358,31,Bac+4,4,12,5,36.0,22.4,0.153216,7.910784,Non
1359,41,Niveau bac,6,12,1,32.8,6.37,0.4283188,1.6610412,Oui
1360,999,Niveau bac,2,12,6,15.4,24.45,1.7245074,2.0407926,Oui
1361,25,Bac+3,0,12,4,19.0,15.75,0.6014925,2.3910075,Non
1362,23,Niveau bac,0,12,2,19.1,14.62,0.89915924,1.89326076,Oui
1363,29,Bac+2,9,12,0,32.9,27.18,1.75267512,7.18954488,Oui
1364,49,Niveau bac,27,12,21,105.0,13.44,0.451584,13.660416,Non
1365,29,Niveau bac,11,12,5,46.1,23.55,0.96623295,9.89031705,Non
1366,21,Bac+3,0,12,2,30.0,5.42,0.25203,1.37397,Oui
1367,30,Bac+2,10,12,11,24.3,4.97,0.75240333,0.45530667,Non
1368,38,Bac+4,6,12,7,25.0,31.3,2.214475,5.610525,Oui
1369,37,Bac+2,18,12,5,97.6,16.79,10.01248144,6.37455856,Oui
1370,28,Bac+2,6,12,2,35.1,6.25,1.2767625,0.9169875,Non
1371,43,Bac+3,1,12,14,33.2,6.93,0.8512812,1.4494788,Non
1372,31,Bac+2,6,12,11,37.0,23.16,3.8818476,4.6873524,Oui
1373,38,Niveau bac,3,12,6,32.7,19.44,2.31390432,4.04297568,Oui
1374,48,Niveau bac,28,12,23,88.8,15.54,4.22265312,9.57686688,Non
1375,39,Bac+4,12,12,9,82.0,6.2,1.789568,3.294432,Non
1376,45,Niveau bac,19,12,22,110.2,1.69,0.43020978,1.43217022,Non
1377,23,Bac+3,0,12,1,18.0,4,0.05328,0.66672,Non
1378,32,Niveau bac,3,12,999,25.9,7.88,0.6530944,1.3878256,Oui
1379,23,Bac+3,0,12,0,56.3,8.54,2.3799699,2.4280501,Oui
1380,42,Niveau bac,4,12,10,36.2,12.55,1.3765593,3.1665407,Non
1381,36,Niveau bac,11,12,12,34.4,12.96,1.55146752,2.90677248,Non
1382,50,Niveau bac,14,12,1,38.2,12.94,1.04298988,3.90009012,Non
1383,45,Bac+4,12,12,25,150.4,4.48,1.4486528,5.2892672,Non
1384,46,Niveau bac,16,12,22,65.0,6.45,0.40248,3.79002,Non
1385,999,Bac+2,3,12,10,30.4,13.74,1.82115456,2.35580544,Non
1386,28,Niveau bac,4,12,9,45.3,27.02,6.02210952,6.21795048,Oui
1387,28,Bac+2,3,12,6,22.2,9.45,0.1132866,1.9846134,Non
1388,39,Bac+2,6,12,2,26.6,11.88,0.12324312,3.03683688,Non
1389,41,Bac+2,13,12,10,71.9,2.01,0.58241157,0.86277843,Non
1390,25,Bac+2,1,12,3,20.0,2.5,0.174,0.326,Non
1391,50,Bac+3,19,12,7,97.6,4.78,1.97341344,2.69186656,Non
1392,999,Niveau bac,2,12,999,31.3,10.47,0.7865064,2.4906036,Non
1393,41,Bac+5 et plus,9,12,19,53.1,3.05,0.71746065,0.90208935,Non
1394,28,Bac+2,1,12,9,24.0,5.37,0.3685968,0.9202032,Non
1395,27,Niveau bac,9,12,2,27.3,16.43,0.02691234,4.45847766,Non
1396,34,Niveau bac,0,12,6,24.3,10.68,0.3114288,2.2838112,Oui
1397,999,Niveau bac,6,12,4,43.0,6.15,1.047222,1.597278,Oui
1398,20,Bac+3,0,12,0,18.0,5.3,0.30051,0.65349,Non
1399,41,Niveau bac,25,12,999,92.2,20.22,5.4064236,13.2364164,Non
1400,31,Bac+2,11,12,8,37.0,5.7,0.824619,1.284381,Non
1401,33,Bac+2,12,12,8,49.3,9.35,2.26328905,2.34626095,Non
1402,29,Niveau bac,5,12,3,26.8,8.85,0.5644884,1.8073116,Non
1403,28,Bac+4,3,12,9,73.5,4.44,1.1552436,2.1081564,Oui
1404,33,Bac+4,4,12,11,85.7,6.35,0.9686671,4.4732829,Non
1405,42,Bac+2,22,12,21,97.6,4.66,0.6367424,3.9114176,Non
1406,42,Niveau bac,0,12,21,18.8,5.93,0.222968,0.891872,Non
1407,39,Bac+3,6,12,2,35.4,37.23,4.45464396,8.72477604,Oui
1408,24,Niveau bac,3,12,2,19.8,8.06,0.18512208,1.41075792,Oui
1409,44,Niveau bac,17,12,21,43.3,11.61,0.42730605,4.59982395,Non
1410,52,Bac+3,17,12,12,125.0,0.5,0.40125,0.22375,Non
1411,18,Bac+2,0,12,0,24.0,6.5,0.30108,1.25892,Non
1412,39,Bac+2,11,12,9,41.4,3.52,0.53627904,0.92100096,Non
1413,43,Bac+2,8,12,18,53.8,13.97,3.09653432,4.41932568,Non
1414,47,Bac+3,23,12,11,197.2,2.73,1.03902708,4.34453292,Non
1415,34,Bac+3,7,12,12,33.8,10.71,1.42265214,2.19732786,Non
1416,21,Niveau bac,2,12,1,16.5,4.84,0.2739198,0.5246802,Oui
1417,999,Bac+2,18,12,13,115.3,2.05,0.6949131,1.6687369,Non
1418,36,Bac+3,6,12,7,25.8,8.41,1.25630262,0.91347738,Non
1419,32,Niveau bac,2,12,999,23.5,22.49,0.17440995,5.11074005,Oui
1420,999,Bac+3,30,12,22,104.0,6.7,2.285504,4.682496,Non
1421,29,Bac+2,4,12,5,19.1,23.44,0.21042088,4.26661912,Oui
1422,29,Niveau bac,10,12,999,25.7,9.85,1.6454425,0.8860075,Non
1423,43,Niveau bac,11,12,12,50.9,23.07,5.26069824,6.48193176,Oui
1424,53,Niveau bac,20,12,0,73.4,32.92,3.31036936,20.85291064,Oui
1425,64,Bac+2,42,12,22,267.0,13.2,16.952364,18.291636,Non
1426,33,Niveau bac,7,12,0,33.7,14.93,1.75093068,3.28047932,Oui
1427,37,Bac+2,12,12,8,67.3,16.38,0.6063057,10.4174343,Non
1428,24,Niveau bac,5,12,4,35.6,1.92,0.24128256,0.44223744,Non
1429,999,Bac+3,9,12,10,17.3,12.29,0.75266418,1.37350582,Non
1430,36,Niveau bac,20,12,5,62.4,9.15,0.9649224,4.7446776,Non
1431,40,Niveau bac,14,12,12,33.6,10.56,1.00412928,2.54403072,Non
1432,40,Niveau bac,2,12,6,30.0,3,0.0486,0.8514,Non
1433,25,Niveau bac,3,12,4,17.8,4.94,0.10200112,0.77731888,Non
1434,43,Bac+2,16,12,9,127.2,5.28,1.96783488,4.74832512,Non
1435,999,Bac+2,0,12,0,31.0,28.7,5.364891,3.532109,Oui
1436,56,Bac+3,19,12,27,187.3,1.6,1.2796336,1.7171664,Non
1437,36,Bac+2,14,12,3,71.0,6.9,1.425609,3.473391,Non
1438,27,Niveau bac,5,12,5,34.0,1,0.06018,0.27982,Non
1439,29,Niveau bac,7,12,5,26.9,18.15,2.3728221,2.5095279,Oui
1440,43,Bac+4,10,12,2,28.7,6.31,0.68997957,1.12099043,Non
1441,39,Niveau bac,14,12,15,32.2,4.46,0.63332892,0.80279108,Non
1442,39,Bac+4,5,12,13,31.1,4.99,0.77284122,0.77904878,Non
1443,42,Bac+2,3,12,7,47.1,15.67,2.32487955,5.05569045,Oui
1444,37,Niveau bac,0,12,3,17.5,13.55,1.07891875,1.29233125,Oui
1445,999,Bac+4,0,12,0,28.0,19.2,1.72032,3.65568,Oui
1446,31,Niveau bac,6,12,9,35.0,14.35,0.994455,4.028045,Non
1447,25,Niveau bac,3,12,3,16.4,17.15,0.4303278,2.3822722,Non
1448,46,Bac+2,7,12,21,52.3,2.8,0.234304,1.230096,Non
1449,33,Niveau bac,10,12,1,31.9,6.48,0.81237816,1.25474184,Oui
1450,54,Bac+2,12,12,34,67.4,11.7,0.828009,7.057791,Non
1451,999,Bac+3,0,12,6,33.7,8.97,0.82827186,2.19461814,Non
1452,54,Niveau bac,36,12,8,209.7,0.89,0.39566196,1.47066804,Non
1453,999,Niveau bac,6,12,19,24.0,2.91,0.2674872,0.4309128,Non
1454,999,Niveau bac,3,12,32,33.1,5.78,0.46107638,1.45210362,Non
1455,33,Niveau bac,17,12,13,52.7,10.69,2.77174596,2.86188404,Non
1456,48,Bac+3,4,12,12,57.0,12.1,2.462229,4.434771,Non
1457,45,Bac+2,23,12,18,150.0,4.58,1.11981,5.75019,Non
1458,28,Bac+3,3,12,3,31.0,12.9,2.355411,1.643589,Oui
1459,29,Bac+3,3,12,999,31.4,20.95,3.6970046,2.8812954,Non
1460,51,Bac+5 et plus,22,12,14,75.0,7.7,2.050125,3.724875,Non
1461,47,Bac+2,6,12,10,40.0,8.7,1.30848,2.17152,Oui
1462,35,Niveau bac,18,12,1,33.6,21.08,1.78488576,5.29799424,Non
1463,44,Niveau bac,1,12,6,20.3,6.9,0.5140569,0.8866431,Non
1464,53,Niveau bac,35,12,25,175.6,3,1.490844,3.777156,Non
1465,29,Bac+3,6,12,9,56.0,7.69,0.7234752,3.5829248,Non
1466,43,Niveau bac,20,12,10,52.7,5.49,0.99527112,1.89795888,Non
1467,999,Bac+4,0,12,1,76.0,7.7,3.616536,2.235464,Non
1468,39,Bac+3,9,12,8,69.0,6,0.55476,3.58524,Non
1469,21,Bac+3,0,12,0,35.0,6.8,0.90916,1.47084,Oui
1470,42,Bac+3,9,12,999,40.9,3.12,0.41727816,0.85880184,Non
1471,24,Niveau bac,8,12,2,18.5,2.5,0.0846375,0.3778625,Non
1472,31,Niveau bac,3,12,8,18.7,7.28,0.52276224,0.83859776,Non
1473,51,Niveau bac,10,12,30,30.2,3.45,0.2719359,0.7699641,Non
1474,999,Niveau bac,18,12,27,57.0,11.5,2.58267,3.97233,Non
1475,34,Niveau bac,10,12,8,41.0,14.5,1.194945,4.750055,Non
1476,33,Niveau bac,17,12,12,28.2,4.99,0.04080822,1.36637178,Non
1477,34,Niveau bac,3,12,8,35.3,3.31,0.52228821,0.64614179,Non
1478,40,Bac+2,6,12,4,36.9,11.28,0.7075944,3.4547256,Non
1479,29,Bac+2,10,12,8,38.9,6.24,0.60441264,1.82294736,Non
1480,999,Niveau bac,8,12,3,25.7,16.87,0.83676887,3.49882113,Oui
1481,39,Niveau bac,3,12,999,20.1,3.53,0.11991057,0.58961943,Non
1482,38,Bac+3,7,12,15,27.6,4.96,0.65162496,0.71733504,Non
1483,47,Niveau bac,20,12,21,44.7,17.88,3.46868424,4.52367576,Non
1484,26,Niveau bac,5,12,2,18.5,8.97,0.3518034,1.3076466,Oui
1485,26,Niveau bac,7,12,3,22.4,9.62,0.27582464,1.87905536,Non
1486,29,Bac+2,9,12,999,40.1,8.18,1.58104676,1.69913324,Non
1487,31,Niveau bac,1,12,11,25.2,10.34,0.66184272,1.94383728,Non
1488,28,Bac+4,3,12,5,35.0,5.2,0.78442,1.03558,Non
1489,20,Bac+2,0,12,0,13.9,24.43,0.80140172,2.59436828,Oui
1490,24,Bac+3,2,12,3,22.0,5.6,0.082544,1.149456,Non
1491,24,Bac+2,3,12,1,17.6,12.57,0.88714032,1.32517968,Oui
1492,44,Niveau bac,1,12,18,24.0,13.9,1.81812,1.51788,Oui
1493,20,Bac+3,0,12,0,21.0,1.3,0.180999,0.092001,Oui
1494,31,Niveau bac,6,12,8,20.3,1.33,0.09962631,0.17036369,Non
1495,30,Bac+2,5,12,9,66.6,11.02,1.31373828,6.02558172,Oui
1496,42,Bac+3,8,12,20,88.9,9.22,2.868803,5.327777,Non
1497,31,Bac+2,12,12,3,31.7,19.16,0.26724368,5.80647632,Oui
1498,32,Bac+4,4,12,1,64.3,10.31,2.87049989,3.75883011,Oui
1499,24,Niveau bac,8,12,1,28.1,14.33,0.63219661,3.39453339,Non
1500,44,Niveau bac,25,12,17,113.8,13.76,6.62370624,9.03517376,Non
1501,37,Niveau bac,17,12,999,58.3,6.28,0.95558364,2.70565636,Non
1502,39,Bac+2,17,12,12,60.6,9.99,1.71326502,4.34067498,Non
1503,28,Bac+2,7,12,8,26.8,9.04,1.33007328,1.09264672,Non
1504,28,Niveau bac,8,12,999,38.0,13.56,0.9378096,4.2149904,Non
1505,35,Niveau bac,16,12,6,37.1,9.81,1.46308302,2.17642698,Non
1506,30,Bac+3,8,12,6,49.2,15.54,2.98946088,4.65621912,Oui
1507,29,Bac+3,0,12,5,37.0,6.7,0.704036,1.774964,Non
1508,28,Bac+2,2,12,2,21.6,9.61,0.40684896,1.66891104,Non
1509,39,Bac+2,19,12,4,80.5,2.77,0.624358,1.605492,Non
1510,41,Bac+2,4,12,0,34.8,5.02,0.92414184,0.82281816,Non
1511,32,Bac+4,2,12,2,55.0,10.6,1.43418,4.39582,Oui
1512,53,Niveau bac,28,12,32,83.4,7.2,1.8734976,4.1313024,Non
1513,999,Niveau bac,10,12,11,56.3,11.74,2.2472708,4.3623492,Non
1514,34,Bac+2,12,12,3,54.0,8.83,1.0108584,3.7573416,Non
1515,31,Bac+2,1,12,7,28.3,10.84,0.26689164,2.80082836,Non
1516,28,Niveau bac,1,12,999,15.3,18.84,1.6862742,1.1962458,Oui
1517,31,Niveau bac,2,12,7,20.0,24.67,1.401256,3.532744,Non
1518,23,Niveau bac,2,12,999,38.0,12.2,2.22528,2.41072,Oui
1519,33,Bac+3,5,12,14,22.0,10.79,0.8830536,1.4907464,Non
1520,55,Niveau bac,2,12,22,32.4,5.61,0.72342072,1.09421928,Non
1521,29,Bac+4,1,12,8,77.7,13.01,6.12591462,3.98285538,Oui
1522,48,Bac+3,20,12,999,134.6,10.83,2.37608034,12.20109966,Non
1523,36,Niveau bac,3,12,15,14.8,5.49,0.18200448,0.63051552,Non
1524,49,Niveau bac,18,12,3,68.0,25.66,6.0721824,11.3766176,Non
1525,56,Bac+2,34,12,21,475.0,2.3,3.878375,7.046625,Non
1526,42,Bac+2,19,12,2,91.0,6.49,1.9016998,4.0042002,Non
1527,36,Bac+5 et plus,5,12,12,112.5,8.18,4.141125,5.061375,Oui
1528,35,Bac+4,3,12,16,24.2,8.12,1.28906624,0.67597376,Oui
1529,39,Bac+4,4,12,13,47.0,9.7,1.673153,2.885847,Oui
1530,30,Bac+2,11,12,7,34.5,10.8,1.330182,2.395818,Non
1531,52,Bac+2,6,12,9,55.0,2.9,0.93148,0.66352,Non
1532,29,Bac+3,1,12,4,23.1,5.88,0.53787888,0.82040112,Non
1533,39,Bac+2,0,12,10,38.0,7.5,0.1995,2.6505,Non
1534,41,Bac+2,17,12,22,30.3,5.77,0.349662,1.398648,Non
1535,41,Niveau bac,2,12,999,21.8,3.52,0.2647392,0.5026208,Oui
1536,33,Bac+3,12,12,7,69.7,11.97,4.22160354,4.12148646,Non
1537,999,Bac+2,11,12,12,50.0,22,2.112,8.888,Non
1538,28,Niveau bac,3,12,4,36.6,6.64,0.46903632,1.96120368,Non
1539,45,Niveau bac,16,12,13,60.9,8.45,2.2539699,2.8920801,Non
1540,27,Niveau bac,3,12,999,37.0,13.9,3.039513,2.103487,Oui
1541,999,Bac+2,25,12,27,153.3,4.58,2.47144128,4.54969872,Non
1542,51,Niveau bac,10,12,2,64.8,3.78,1.5431472,0.9062928,Non
1543,32,Bac+3,1,12,999,45.0,13.9,1.51371,4.74129,Oui
1544,65,Bac+2,38,12,11,352.0,2.5,0.3872,8.4128,Non
1545,999,Niveau bac,1,12,999,18.8,13.35,0.7604694,1.7493306,Non
1546,999,Niveau bac,2,12,1,23.4,2.31,0.0324324,0.5081076,Non
1547,29,Niveau bac,0,12,2,25.4,28.74,2.52578616,4.77417384,Oui
